"","gene"
"RVBD_0001","dnaA"
"RVBD_0002","dnaN"
"RVBD_0003","recF"
"RVBD_0004","-"
"RVBD_0005","gyrB"
"RVBD_0006","gyrA"
"RVBD_0007","-"
"RVBD_0007Ac","?"
"RVBD_0007Bc","?"
"RVBD_0008c","-"
"RVBD_0009","ppiA"
"RVBD_0010c","-"
"RVBD_0011c","-"
"RVBD_0012","-"
"RVBD_0013","trpG"
"RVBD_0014c","pknB"
"RVBD_0015c","pknA"
"RVBD_0016c","pbpA"
"RVBD_0017c","rodA"
"RVBD_0018c","pstP"
"RVBD_0019c","fhaB"
"RVBD_0020c","fhaA"
"RVBD_0021c","-"
"RVBD_0022c","whiB5"
"RVBD_0023","-"
"RVBD_0024","-"
"RVBD_0025","-"
"RVBD_0026","-"
"RVBD_0027","-"
"RVBD_0028","-"
"RVBD_0029","-"
"RVBD_0030","-"
"RVBD_0031","-"
"RVBD_0032","bioF2"
"RVBD_0033","acpA"
"RVBD_0034","-"
"RVBD_0035","fadD34"
"RVBD_0036c","-"
"RVBD_0037c","-"
"RVBD_0038","-"
"RVBD_0039c","-"
"RVBD_0040c","mtc28"
"RVBD_0041","leuS"
"RVBD_0042c","-"
"RVBD_0043c","-"
"RVBD_0044c","-"
"RVBD_0045c","-"
"RVBD_0046c","ino1"
"RVBD_0047c","-"
"RVBD_0048c","-"
"RVBD_0049","-"
"RVBD_0050","ponA1"
"RVBD_0051","-"
"RVBD_0052","-"
"RVBD_0053","rpsF"
"RVBD_0054","ssb"
"RVBD_0055","rpsR1"
"RVBD_0056","rplI"
"RVBD_0057","-"
"RVBD_0058","dnaB"
"RVBD_0059","-"
"RVBD_0060","-"
"RVBD_0061Ac","?"
"RVBD_0062","celA1"
"RVBD_0063","-"
"RVBD_0064","-"
"RVBD_0064A","vapB1"
"RVBD_0065","vapC1"
"RVBD_0066c","icd2"
"RVBD_0067c","-"
"RVBD_0068","-"
"RVBD_0069c","sdaA"
"RVBD_0070c","glyA2"
"RVBD_0071","-"
"RVBD_0072","-"
"RVBD_0073","-"
"RVBD_0074","-"
"RVBD_0075","-"
"RVBD_0076c","-"
"RVBD_0077c","-"
"RVBD_0078","-"
"RVBD_0078A","-"
"RVBD_0078Bc","?"
"RVBD_0079","-"
"RVBD_0080","-"
"RVBD_0081","-"
"RVBD_0082","-"
"RVBD_0083","-"
"RVBD_0084","hycD"
"RVBD_0085","hycP"
"RVBD_0086","hycQ"
"RVBD_0087","hycE"
"RVBD_0088","-"
"RVBD_0089","-"
"RVBD_0090","-"
"RVBD_0090A","?"
"RVBD_0091","mtn"
"RVBD_0092","ctpA"
"RVBD_0093c","-"
"RVBD_0094c","-"
"RVBD_0095c","-"
"RVBD_0096","PPE1"
"RVBD_0097","-"
"RVBD_0098","fcoT"
"RVBD_0099","fadD10"
"RVBD_0100","-"
"RVBD_0101","nrp"
"RVBD_0102","-"
"RVBD_0103c","ctpB"
"RVBD_0104","-"
"RVBD_0105c","rpmB1"
"RVBD_0106","-"
"RVBD_0107c","ctpI"
"RVBD_0108c","-"
"RVBD_0109","PE_PGRS1"
"RVBD_0110","-"
"RVBD_0111","-"
"RVBD_0112","gca"
"RVBD_0113","gmhA"
"RVBD_0114","gmhB"
"RVBD_0115","hddA"
"RVBD_0115A","?"
"RVBD_0116c","ldtA"
"RVBD_0117","oxyS"
"RVBD_0118c","oxcA"
"RVBD_0119","fadD7"
"RVBD_0120c","fusA2"
"RVBD_0121c","-"
"RVBD_0122","-"
"RVBD_0123","-"
"RVBD_0124","PE_PGRS2"
"RVBD_0125","pepA"
"RVBD_0126","treS"
"RVBD_0127","mak"
"RVBD_0128","-"
"RVBD_0129c","fbpC"
"RVBD_0130","htdZ"
"RVBD_0131c","fadE1"
"RVBD_0132c","fgd2"
"RVBD_0133","-"
"RVBD_0134","ephF"
"RVBD_0135c","-"
"RVBD_0136","cyp138"
"RVBD_0137c","msrA"
"RVBD_0138","-"
"RVBD_0139","-"
"RVBD_0140","-"
"RVBD_0141c","-"
"RVBD_0142","-"
"RVBD_0143c","-"
"RVBD_0144","-"
"RVBD_0145","-"
"RVBD_0146","-"
"RVBD_0147","-"
"RVBD_0148","-"
"RVBD_0149","-"
"RVBD_0150c","-"
